hillnumber,hillname,name_kw,source_kw,region,parent,classification,metres,feet,gridref,bigsquareX,Easting,bigsquareY,Northing,gridref10,colgridref,colheight,drop,feature,observations,survey,revision,comments,map50,map25,xcoord,ycoord,latitude,longitude,country,climbed,tumponly,Ma,Ma=,Hu,Hu=,M,MT,Mur,F,C,CT,CTM,CTC,G,GT,GTM,GTC,GTG,GTH,D,DT,DN,Hew,N,Dil,VL,A,Tu,Sim,5,5D,5H,5M,4,3,2,1,0,sMa,sHu,sMur,sCT,sGT,sHew,s5,s5D,s5H,s5M,s4,W,WO,B,Sy,Fel,CoH,CoU,CoA,CoL,SIB,xMT,xC,xG,xN,xDT,O,Un,BL,Bg,Ca,Bin,T100,P600,P500
17912,Abbey Hill,Bronn Abatti,T,40,,Un,34,112,SV890143,0,089000,0,014300,,SV899140,5,29,,,,2014-05-07,Tump deleted May 2014,203,101,89000,14300,49.947709,-6.336798,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17901,Men-a-vaur,Men ar Voth,W,40,,0,38,125,SV893174,0,089300,0,017400,,Sea,,38,,,,2012-01-20,,203,101,89300,17400,49.975666,-6.335129,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17913,Men-a-vaur East,Men ar Voth Est,W/T,40,,0,33,108,SV893175,0,089300,0,017500,,Sea,,33,,,,2012-01-20,,203,101,89300,17500,49.976563,-6.33521,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17896,The Garrison,An Garnisyon,T,40,,0,42,138,SV898102,0,089800,0,010200,,SV902104,4,38,,,,2012-01-20,,203,101,89800,10200,49.911355,-6.322384,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17890,St Helen's,Elyd,W,40,,"0,SIB",44,144,SV901170,0,090100,0,017000,,Sea,,44,,,,2012-01-20,,203,101,90100,17000,49.972495,-6.323682,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17891,Round Island,An Voth,W,40,,"0,SIB",44,144,SV902176,0,090200,0,017600,SV 90217 17631,Sea,,44,concrete pillar,,,2012-01-20,,203,101,90213,17624,49.978147,-6.322606,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17907,Peninnis Head,Pennenys,W,40,,0,35,115,SV909098,0,090900,0,009800,SV 90942 09821,SV908106,4,31,no feature,flat summit area,,2012-01-20,,203,101,90939,9814,49.908478,-6.306263,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17914,Great Hill (Tean),Bronn Veur,T,40,,"0,SIB",33,108,SV909165,0,090900,0,016500,SV 90990 16561,Sea,,33,rock tor,,obvious summit,2014-12-15,,203,101,90986,16554,49.968951,-6.310997,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5507,Higher Newford,Kernowydh Wartha,T,40,,"0,CoU,SIB",51,167,SV912120,0,091200,0,012000,,Sea,,51,,,,2009-06-08,"Spot height on Telegraph Road, Higher Newford, St Marys",203,101,91200,12000,49.928223,-6.304381,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17917,White Island,Arnor,W,40,,"0,SIB",31,102,SV922176,0,092200,0,017600,SV 92221 17650,Sea,,31,flat rock,,,2012-01-20,,203,101,92217,17643,49.979354,-6.29475,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
